FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:0, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:1, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:2, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:3, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:4, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 2,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:5, nlsp 3,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 277777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 833333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 41666666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 250000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 416666, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 2500000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 1250000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 83333333, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 1,shots 27777777, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 2,shots 50000000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 2,shots 125000000, tag: _LinGrow
FAILED qubit 6,depth 6, seed:6, nlsp 2,shots 41666666, tag: _LinGrow
